microbedir_genus;microbedir_species;microbedir_strain;microbedir_speciesStrain;microbedir_gram;microbedir_source;microbedir_abSusceptible;microbedir_extremophile;microbedir_pathogenicity
Abiotrophia;Abiotrophia defectiva;;Abiotrophia defectiva;positive;humanMicrobiome;yes;;
Acaricomes;Acaricomes phytoseiuli;;Acaricomes phytoseiuli;positive;;;no;animal
Acaryochloris;Acaryochloris marina;;Acaryochloris marina;;;no;;
Acaryochloris;Acaryochloris sp. ;CCMEE 5410;Acaryochloris sp. CCMEE 5410;negative;;;;
Acetivibrio;Acetivibrio cellulolyticus;;Acetivibrio cellulolyticus;positive;;;no;
Acetobacter;Acetobacter aceti;;Acetobacter aceti;negative;;;;
Acetobacter;Acetobacter pasteurianus;;Acetobacter pasteurianus;negative;;;no;
Acetobacteraceae;Acetobacteraceae bacterium;AT 5844;Acetobacteraceae bacterium AT 5844;positive;;;;
Acetobacterium;Acetobacterium woodii;;Acetobacterium woodii;positive;;;;
Acetohalobium;Acetohalobium arabaticum;;Acetohalobium arabaticum;positive;;;yes;
Acetonema;Acetonema longum;;Acetonema longum;negative;;;no;
Acholeplasma;Acholeplasma laidlawii;;Acholeplasma laidlawii;;;;no;
Acholeplasma;Acholeplasma phage ;L2;Acholeplasma phage L2;;;yes;no;
Acholeplasma;Acholeplasma phage ;MV L1;Acholeplasma phage MV L1;;;;;
Achromobacter;Achromobacter arsenitoxydans;;Achromobacter arsenitoxydans;negative;;;;
Achromobacter;Achromobacter piechaudii;;Achromobacter piechaudii;;;;;
Achromobacter;Achromobacter xylosoxidans;;Achromobacter xylosoxidans;negative;;;;
Acidaminococcus;Acidaminococcus fermentans;;Acidaminococcus fermentans;negative;humanMicrobiome;yes;no;
Acidaminococcus;Acidaminococcus intestini;;Acidaminococcus intestini;negative;humanMicrobiome;;no;
Acidaminococcus;Acidaminococcus sp. ;BV3L6;Acidaminococcus sp. BV3L6;negative;humanMicrobiome;;no;
Acidaminococcus;Acidaminococcus sp. ;D21;Acidaminococcus sp. D21;negative;humanMicrobiome;;no;
Acidaminococcus;Acidaminococcus sp. ;HPA0509;Acidaminococcus sp. HPA0509;negative;humanMicrobiome;;no;
Acidianus;Acidianus hospitalis;;Acidianus hospitalis;;;;yes;
Acidilobus;Acidilobus saccharovorans;;Acidilobus saccharovorans;;;;yes;
Acidimicrobium;Acidimicrobium ferrooxidans;;Acidimicrobium ferrooxidans;positive;;;yes;
Acidiphilium;Acidiphilium cryptum;;Acidiphilium cryptum;negative;;;no;
Acidiphilium;Acidiphilium multivorum;;Acidiphilium multivorum;negative;;;no;
Acidiphilium;Acidiphilium sp. ;PM;Acidiphilium sp. PM;negative;;;yes;
Acidithiobacillus;Acidithiobacillus caldus;;Acidithiobacillus caldus;negative;;;yes;
Acidithiobacillus;Acidithiobacillus ferrivorans;;Acidithiobacillus ferrivorans;negative;;;yes;
Acidithiobacillus;Acidithiobacillus ferrooxidans;;Acidithiobacillus ferrooxidans;negative;;;yes;
Acidithiobacillus;Acidithiobacillus sp. ;GGI 221;Acidithiobacillus sp. GGI 221;negative;;;yes;
Acidithiobacillus;Acidithiobacillus thiooxidans;;Acidithiobacillus thiooxidans;negative;;;yes;
Acidobacterium;Acidobacterium capsulatum;;Acidobacterium capsulatum;negative;;;yes;
Acidocella;Acidocella sp. ;MX AZ02;Acidocella sp. MX AZ02;negative;;;yes;
Acidothermus;Acidothermus cellulolyticus;;Acidothermus cellulolyticus;negative;;;yes;
Acidovorax;Acidovorax avenae;;Acidovorax avenae;negative;;;no;plant
Acidovorax;Acidovorax citrulli;;Acidovorax citrulli;negative;;;no;plant
Acidovorax;Acidovorax delafieldii;;Acidovorax delafieldii;negative;;;;
Acidovorax;Acidovorax ebreus;;Acidovorax ebreus;negative;;;no;
Acidovorax;Acidovorax radicis;;Acidovorax radicis;negative;;;no;
Acidovorax;Acidovorax sp. ;CF316;Acidovorax sp. CF316;negative;;;;
Acidovorax;Acidovorax sp. ;JS42;Acidovorax sp. JS42;negative;;;no;
Acidovorax;Acidovorax sp. ;KKS102;Acidovorax sp. KKS102;;;;;
Acidovorax;Acidovorax sp. ;MR S7;Acidovorax sp. MR S7;negative;;;;
Acidovorax;Acidovorax sp. ;NO 1;Acidovorax sp. NO 1;negative;;;;
Aciduliprofundum;Aciduliprofundum boonei;;Aciduliprofundum boonei;;;;yes;
Acinetobacter;Acinetobacter bacteriophage ;AP22;Acinetobacter bacteriophage AP22;;;;no;animal
Acinetobacter;Acinetobacter baumannii;;Acinetobacter baumannii;negative;humanMicrobiome;;no;animal
Acinetobacter;Acinetobacter baylyi;;Acinetobacter baylyi;negative;;;no;
Acinetobacter;Acinetobacter beijerinckii;;Acinetobacter beijerinckii;negative;;;no;
Acinetobacter;Acinetobacter bereziniae;;Acinetobacter bereziniae;negative;humanMicrobiome;;no;
Acinetobacter;Acinetobacter bouvetii;;Acinetobacter bouvetii;negative;;;no;
Acinetobacter;Acinetobacter brisouii;;Acinetobacter brisouii;negative;;;no;
Acinetobacter;Acinetobacter gerneri;;Acinetobacter gerneri;negative;;;no;
Acinetobacter;Acinetobacter guillouiae;;Acinetobacter guillouiae;negative;;yes;no;
Acinetobacter;Acinetobacter gyllenbergii;;Acinetobacter gyllenbergii;negative;;;no;
Acinetobacter;Acinetobacter haemolyticus;;Acinetobacter haemolyticus;negative;;;no;
Acinetobacter;Acinetobacter indicus;;Acinetobacter indicus;negative;;;no;
Acinetobacter;Acinetobacter johnsonii;;Acinetobacter johnsonii;negative;;yes;no;
Acinetobacter;Acinetobacter junii;;Acinetobacter junii;negative;;yes;no;
Acinetobacter;Acinetobacter lwoffii;;Acinetobacter lwoffii;negative;;yes;no;
Acinetobacter;Acinetobacter nectaris;;Acinetobacter nectaris;negative;;;no;plant
Acinetobacter;Acinetobacter oleivorans;;Acinetobacter oleivorans;negative;;;no;
Acinetobacter;Acinetobacter parvus;;Acinetobacter parvus;negative;;;no;
Acinetobacter;Acinetobacter phage ;133;Acinetobacter phage 133;;;;no;
Acinetobacter;Acinetobacter phage ;AB3;Acinetobacter phage AB3;;;;no;
Acinetobacter;Acinetobacter phage ;Abp1;Acinetobacter phage Abp1;;;;no;
Acinetobacter;Acinetobacter phage ;Ac42;Acinetobacter phage Ac42;;;;no;
Acinetobacter;Acinetobacter phage ;Acj61;Acinetobacter phage Acj61;;;;no;
Acinetobacter;Acinetobacter phage ;Acj9;Acinetobacter phage Acj9;;;;no;
Acinetobacter;Acinetobacter phage ;AP205;Acinetobacter phage AP205;;;;no;
Acinetobacter;Acinetobacter phage ;Bphi B1251;Acinetobacter phage Bphi B1251;;;;no;
Acinetobacter;Acinetobacter phage ;ZZ1;Acinetobacter phage ZZ1;;;;no;
Acinetobacter;Acinetobacter pittii;calcoaceticus nosocomialis;Acinetobacter pittii calcoaceticus nosocomialis;negative;;;no;
Acinetobacter;Acinetobacter radioresistens;;Acinetobacter radioresistens;negative;;;no;
Acinetobacter;Acinetobacter rudis;;Acinetobacter rudis;negative;;;no;
Acinetobacter;Acinetobacter schindleri;;Acinetobacter schindleri;negative;;;no;
Acinetobacter;Acinetobacter soli;;Acinetobacter soli;negative;;;no;
Acinetobacter;Acinetobacter sp. ;528;Acinetobacter sp. 528;negative;;;no;
Acinetobacter;Acinetobacter sp. ;ADP1;Acinetobacter sp. ADP1;negative;;;no;
Acinetobacter;Acinetobacter sp. ;ANC 3789;Acinetobacter sp. ANC 3789;negative;;;no;
Acinetobacter;Acinetobacter sp. ;ANC 3862;Acinetobacter sp. ANC 3862;negative;humanMicrobiome;;no;
Acinetobacter;Acinetobacter sp. ;ANC 3880;Acinetobacter sp. ANC 3880;negative;humanMicrobiome;;no;
Acinetobacter;Acinetobacter sp. ;ANC 3929;Acinetobacter sp. ANC 3929;negative;humanMicrobiome;;no;
Acinetobacter;Acinetobacter sp. ;ANC 3994;Acinetobacter sp. ANC 3994;negative;humanMicrobiome;;no;
Acinetobacter;Acinetobacter sp. ;ANC 4105;Acinetobacter sp. ANC 4105;negative;humanMicrobiome;;no;
Acinetobacter;Acinetobacter sp. ;ATCC 27244;Acinetobacter sp. ATCC 27244;negative;humanMicrobiome;;no;
Acinetobacter;Acinetobacter sp. ;CIP 101934;Acinetobacter sp. CIP 101934;negative;humanMicrobiome;;no;
Acinetobacter;Acinetobacter sp. ;CIP 101966;Acinetobacter sp. CIP 101966;negative;humanMicrobiome;;no;
Acinetobacter;Acinetobacter sp. ;CIP 102082;Acinetobacter sp. CIP 102082;negative;humanMicrobiome;;no;
Acinetobacter;Acinetobacter sp. ;CIP 102129;Acinetobacter sp. CIP 102129;negative;humanMicrobiome;;no;
Acinetobacter;Acinetobacter sp. ;CIP 102136;Acinetobacter sp. CIP 102136;negative;;;;
Acinetobacter;Acinetobacter sp. ;CIP 102143;Acinetobacter sp. CIP 102143;negative;;;;
Acinetobacter;Acinetobacter sp. ;CIP 102159;Acinetobacter sp. CIP 102159;negative;;;;
Acinetobacter;Acinetobacter sp. ;CIP 102529;Acinetobacter sp. CIP 102529;negative;;;;
Acinetobacter;Acinetobacter sp. ;CIP 102637;Acinetobacter sp. CIP 102637;negative;;;;
Acinetobacter;Acinetobacter sp. ;CIP 110321;Acinetobacter sp. CIP 110321;negative;;;;
Acinetobacter;Acinetobacter sp. ;CIP 51 11;Acinetobacter sp. CIP 51 11;negative;;;;
Acinetobacter;Acinetobacter sp. ;CIP 53 82;Acinetobacter sp. CIP 53 82;negative;;;;
Acinetobacter;Acinetobacter sp. ;CIP 56 2;Acinetobacter sp. CIP 56 2;negative;;;;
Acinetobacter;Acinetobacter sp. ;CIP 64 2;Acinetobacter sp. CIP 64 2;negative;;;;
Acinetobacter;Acinetobacter sp. ;CIP 64 7;Acinetobacter sp. CIP 64 7;negative;humanMicrobiome;yes;yes;animal
Acinetobacter;Acinetobacter sp. ;CIP 70 18;Acinetobacter sp. CIP 70 18;negative;humanMicrobiome;yes;yes;animal
Acinetobacter;Acinetobacter sp. ;CIP A162;Acinetobacter sp. CIP A162;negative;humanMicrobiome;yes;yes;animal
Acinetobacter;Acinetobacter sp. ;CIP A165;Acinetobacter sp. CIP A165;negative;humanMicrobiome;yes;yes;animal
Acinetobacter;Acinetobacter sp. ;GG2;Acinetobacter sp. GG2;negative;humanMicrobiome;yes;yes;animal
Acinetobacter;Acinetobacter sp. ;HA;Acinetobacter sp. HA;negative;humanMicrobiome;yes;yes;animal
Acinetobacter;Acinetobacter sp. ;MDS7A;Acinetobacter sp. MDS7A;negative;humanMicrobiome;yes;yes;animal
Acinetobacter;Acinetobacter sp. ;NBRC 100985;Acinetobacter sp. NBRC 100985;negative;humanMicrobiome;yes;yes;animal
Acinetobacter;Acinetobacter sp. ;NCTC 10304;Acinetobacter sp. NCTC 10304;negative;humanMicrobiome;yes;yes;animal
Acinetobacter;Acinetobacter sp. ;NCTC 7422;Acinetobacter sp. NCTC 7422;negative;humanMicrobiome;yes;yes;animal
Acinetobacter;Acinetobacter sp. ;NIPH 1847;Acinetobacter sp. NIPH 1847;negative;humanMicrobiome;no;no;animal
Acinetobacter;Acinetobacter sp. ;NIPH 1859;Acinetobacter sp. NIPH 1859;negative;humanMicrobiome;no;no;animal
Acinetobacter;Acinetobacter sp. ;NIPH 1867;Acinetobacter sp. NIPH 1867;negative;humanMicrobiome;no;no;animal
Acinetobacter;Acinetobacter sp. ;NIPH 2036;Acinetobacter sp. NIPH 2036;negative;humanMicrobiome;no;no;animal
Acinetobacter;Acinetobacter sp. ;NIPH 2100;Acinetobacter sp. NIPH 2100;negative;humanMicrobiome;no;no;animal
Acinetobacter;Acinetobacter sp. ;NIPH 2168;Acinetobacter sp. NIPH 2168;negative;humanMicrobiome;no;no;animal
Acinetobacter;Acinetobacter sp. ;NIPH 2171;Acinetobacter sp. NIPH 2171;negative;humanMicrobiome;no;no;animal
Acinetobacter;Acinetobacter sp. ;NIPH 236;Acinetobacter sp. NIPH 236;negative;humanMicrobiome;no;no;animal
Acinetobacter;Acinetobacter sp. ;NIPH 284;Acinetobacter sp. NIPH 284;negative;humanMicrobiome;no;no;animal
Acinetobacter;Acinetobacter sp. ;NIPH 298;Acinetobacter sp. NIPH 298;negative;humanMicrobiome;no;no;animal
Acinetobacter;Acinetobacter sp. ;NIPH 3623;Acinetobacter sp. NIPH 3623;negative;;;no;
Acinetobacter;Acinetobacter sp. ;NIPH 542;Acinetobacter sp. NIPH 542;negative;;;no;
Acinetobacter;Acinetobacter sp. ;NIPH 713;Acinetobacter sp. NIPH 713;negative;;;no;
Acinetobacter;Acinetobacter sp. ;NIPH 758;Acinetobacter sp. NIPH 758;negative;;;no;
Acinetobacter;Acinetobacter sp. ;NIPH 809;Acinetobacter sp. NIPH 809;negative;;;no;
Acinetobacter;Acinetobacter sp. ;NIPH 817;Acinetobacter sp. NIPH 817;negative;;;no;
Acinetobacter;Acinetobacter sp. ;NIPH 899;Acinetobacter sp. NIPH 899;negative;;;no;
Acinetobacter;Acinetobacter sp. ;NIPH 973;Acinetobacter sp. NIPH 973;;humanMicrobiome;;no;
Acinetobacter;Acinetobacter sp. ;P8 3 8;Acinetobacter sp. P8 3 8;negative;;;no;
Acinetobacter;Acinetobacter sp. ;TG19627;Acinetobacter sp. TG19627;negative;;;no;
Acinetobacter;Acinetobacter sp. ;TG2027;Acinetobacter sp. TG2027;negative;;;no;
Acinetobacter;Acinetobacter sp. ;TG27347;Acinetobacter sp. TG27347;negative;;;no;
Acinetobacter;Acinetobacter sp. ;WC 743;Acinetobacter sp. WC 743;negative;;;no;
Acinetobacter;Acinetobacter tandoii;;Acinetobacter tandoii;negative;;;no;
Acinetobacter;Acinetobacter tjernbergiae;;Acinetobacter tjernbergiae;negative;;;no;
Acinetobacter;Acinetobacter towneri;;Acinetobacter towneri;negative;;;no;
Acinetobacter;Acinetobacter ursingii;;Acinetobacter ursingii;negative;;yes;no;
Acinetobacter;Acinetobacter venetianus;;Acinetobacter venetianus;negative;;;no;
Actinoalloteichus;Actinoalloteichus spitiensis;;Actinoalloteichus spitiensis;positive;;;no;
Actinobacillus;Actinobacillus capsulatus;;Actinobacillus capsulatus;negative;;;no;animal
Actinobacillus;Actinobacillus minor;;Actinobacillus minor;negative;;;no;animal
Actinobacillus;Actinobacillus pleuropneumoniae;;Actinobacillus pleuropneumoniae;negative;;yes;no;animal
Actinobacillus;Actinobacillus succinogenes;;Actinobacillus succinogenes;negative;;yes;no;
Actinobacillus;Actinobacillus suis;;Actinobacillus suis;negative;;yes;no;animal
Actinobacillus;Actinobacillus ureae;;Actinobacillus ureae;negative;;;no;animal
actinobacterium;actinobacterium SCGC;AAA023 D18;actinobacterium SCGC AAA023 D18;;;;no;
actinobacterium;actinobacterium SCGC;AAA023 J06;actinobacterium SCGC AAA023 J06;;;;no;
actinobacterium;actinobacterium SCGC;AAA024 D14;actinobacterium SCGC AAA024 D14;;;;no;
actinobacterium;actinobacterium SCGC;AAA027 J17;actinobacterium SCGC AAA027 J17;;;;no;
actinobacterium;actinobacterium SCGC;AAA027 L06;actinobacterium SCGC AAA027 L06;;;;no;
actinobacterium;actinobacterium SCGC;AAA028 A23;actinobacterium SCGC AAA028 A23;;;;no;
actinobacterium;actinobacterium SCGC;AAA044 N04;actinobacterium SCGC AAA044 N04;;;;no;
actinobacterium;actinobacterium SCGC;AAA278 I18;actinobacterium SCGC AAA278 I18;;;;no;
actinobacterium;actinobacterium SCGC;AAA278 O22;actinobacterium SCGC AAA278 O22;;;;no;
Actinobaculum;Actinobaculum massiliense;;Actinobaculum massiliense;positive;;yes;no;
Actinobaculum;Actinobaculum schaalii;;Actinobaculum schaalii;positive;;yes;no;
Actinobaculum;Actinobaculum sp. ;oral taxon 183;Actinobaculum sp. oral taxon 183;positive;humanMicrobiome;;no;
Actinobaculum;Actinobaculum urinale;;Actinobaculum urinale;positive;;yes;no;
Actinokineospora;Actinokineospora enzanensis;;Actinokineospora enzanensis;positive;;;no;
Actinomadura;Actinomadura atramentaria;;Actinomadura atramentaria;positive;;;no;
Actinomadura;Actinomadura flavalba;;Actinomadura flavalba;positive;;;no;
Actinomadura;Actinomadura madurae;;Actinomadura madurae;positive;;;;animal
Actinomyces;Actinomyces cardiffensis;;Actinomyces cardiffensis;positive;;yes;no;
Actinomyces;Actinomyces coleocanis;;Actinomyces coleocanis;positive;;;no;
Actinomyces;Actinomyces europaeus;;Actinomyces europaeus;positive;;;no;
Actinomyces;Actinomyces georgiae;;Actinomyces georgiae;positive;humanMicrobiome;;no;
Actinomyces;Actinomyces graevenitzii;;Actinomyces graevenitzii;positive;;;no;
Actinomyces;Actinomyces johnsonii;;Actinomyces johnsonii;positive;humanMicrobiome;;no;
Actinomyces;Actinomyces massiliensis;;Actinomyces massiliensis;positive;;yes;no;
Actinomyces;Actinomyces naeslundii;;Actinomyces naeslundii;positive;humanMicrobiome;;no;
Actinomyces;Actinomyces neuii;;Actinomyces neuii;positive;;yes;no;
Actinomyces;Actinomyces odontolyticus;;Actinomyces odontolyticus;positive;humanMicrobiome;yes;no;
Actinomyces;Actinomyces oris;;Actinomyces oris;positive;humanMicrobiome;;no;
Actinomyces;Actinomyces phage ;Av 1;Actinomyces phage Av 1;;;;no;
Actinomyces;Actinomyces sp. ;HPA0247;Actinomyces sp. HPA0247;positive;humanMicrobiome;;yes;
Actinomyces;Actinomyces sp. ;ICM39;Actinomyces sp. ICM39;positive;humanMicrobiome;;no;
Actinomyces;Actinomyces sp. ;ICM47;Actinomyces sp. ICM47;positive;humanMicrobiome;;no;
Actinomyces;Actinomyces sp. ;oral taxon 170;Actinomyces sp. oral taxon 170;positive;humanMicrobiome;;no;
Actinomyces;Actinomyces sp. ;oral taxon 171;Actinomyces sp. oral taxon 171;positive;humanMicrobiome;;no;
Actinomyces;Actinomyces sp. ;oral taxon 172;Actinomyces sp. oral taxon 172;positive;humanMicrobiome;;no;
Actinomyces;Actinomyces sp. ;oral taxon 175;Actinomyces sp. oral taxon 175;positive;humanMicrobiome;;no;
Actinomyces;Actinomyces sp. ;oral taxon 178;Actinomyces sp. oral taxon 178;positive;humanMicrobiome;;no;
Actinomyces;Actinomyces sp. ;oral taxon 180;Actinomyces sp. oral taxon 180;positive;humanMicrobiome;;no;
Actinomyces;Actinomyces sp. ;oral taxon 181;Actinomyces sp. oral taxon 181;positive;humanMicrobiome;;no;
Actinomyces;Actinomyces sp. ;oral taxon 448;Actinomyces sp. oral taxon 448;positive;humanMicrobiome;;no;
Actinomyces;Actinomyces sp. ;oral taxon 848;Actinomyces sp. oral taxon 848;positive;humanMicrobiome;;no;
Actinomyces;Actinomyces sp. ;oral taxon 849;Actinomyces sp. oral taxon 849;positive;humanMicrobiome;;no;
Actinomyces;Actinomyces sp. ;oral taxon 877;Actinomyces sp. oral taxon 877;positive;humanMicrobiome;;no;
Actinomyces;Actinomyces sp. ;ph3;Actinomyces sp. ph3;positive;humanMicrobiome;;no;
Actinomyces;Actinomyces timonensis;;Actinomyces timonensis;positive;;yes;no;
Actinomyces;Actinomyces turicensis;;Actinomyces turicensis;positive;humanMicrobiome;yes;no;
Actinomyces;Actinomyces urogenitalis;;Actinomyces urogenitalis;positive;humanMicrobiome;yes;no;
Actinomyces;Actinomyces vaccimaxillae;;Actinomyces vaccimaxillae;positive;;;no;
Actinomyces;Actinomyces viscosus;;Actinomyces viscosus;positive;humanMicrobiome;yes;no;animal
Actinomycetospora;Actinomycetospora chiangmaiensis;;Actinomycetospora chiangmaiensis;positive;;;no;
Actinoplanes;Actinoplanes friuliensis;;Actinoplanes friuliensis;positive;;;no;
Actinoplanes;Actinoplanes globisporus;;Actinoplanes globisporus;positive;;;no;
Actinoplanes;Actinoplanes missouriensis;;Actinoplanes missouriensis;positive;;;no;
Actinoplanes;Actinoplanes phage ;phiAsp2;Actinoplanes phage phiAsp2;;;;no;
Actinoplanes;Actinoplanes sp. ;N902 109;Actinoplanes sp. N902 109;positive;;;no;
Actinoplanes;Actinoplanes sp. ;SE50 110;Actinoplanes sp. SE50 110;positive;;;no;
Actinopolymorpha;Actinopolymorpha alba;;Actinopolymorpha alba;positive;;;no;
Actinopolyspora;Actinopolyspora halophila;;Actinopolyspora halophila;;;;yes;
Actinopolyspora;Actinopolyspora mortivallis;;Actinopolyspora mortivallis;;;;yes;
Actinosynnema;Actinosynnema mirum;;Actinosynnema mirum;positive;;;no;
Adlercreutzia;Adlercreutzia equolifaciens;;Adlercreutzia equolifaciens;positive;humanMicrobiome;;no;
Advenella;Advenella kashmirensis;;Advenella kashmirensis;negative;;;;
Aequorivita;Aequorivita sublithincola;;Aequorivita sublithincola;negative;;no;yes;
Aerococcus;Aerococcus urinae;;Aerococcus urinae;positive;humanMicrobiome;yes;no;
Aerococcus;Aerococcus viridans;;Aerococcus viridans;positive;humanMicrobiome;yes;no;animal
Aeromicrobium;Aeromicrobium marinum;;Aeromicrobium marinum;positive;;;no;
Aeromicrobium;Aeromicrobium sp. ;JC14;Aeromicrobium sp. JC14;positive;humanMicrobiome;yes;no;
Aeromonas;Aeromonas aquariorum;;Aeromonas aquariorum;negative;;yes;;animal
Aeromonas;Aeromonas caviae;;Aeromonas caviae;negative;;yes;no;animal
Aeromonas;Aeromonas diversa;;Aeromonas diversa;negative;;;no;animal
Aeromonas;Aeromonas hydrophila;;Aeromonas hydrophila;negative;;yes;no;animal
Aeromonas;Aeromonas media;;Aeromonas media;negative;;yes;;animal
Aeromonas;Aeromonas molluscorum;;Aeromonas molluscorum;negative;;yes;no;animal
Aeromonas;Aeromonas phage ;25;Aeromonas phage 25;;;;no;
Aeromonas;Aeromonas phage ;31;Aeromonas phage 31;;;;no;
Aeromonas;Aeromonas phage ;44RR2 8t;Aeromonas phage 44RR2 8t;;;;no;
Aeromonas;Aeromonas phage ;65;Aeromonas phage 65;;;;no;
Aeromonas;Aeromonas phage ;Aeh1;Aeromonas phage Aeh1;;;;no;
Aeromonas;Aeromonas phage ;Aes012;Aeromonas phage Aes012;;;;no;
Aeromonas;Aeromonas phage ;Aes508;Aeromonas phage Aes508;;;;no;
Aeromonas;Aeromonas phage ;CC2;Aeromonas phage CC2;;;;no;
Aeromonas;Aeromonas phage ;phiAS4;Aeromonas phage phiAS4;;;;no;
Aeromonas;Aeromonas phage ;phiAS5;Aeromonas phage phiAS5;;;;no;
Aeromonas;Aeromonas phage ;phiAS7;Aeromonas phage phiAS7;;;;no;
Aeromonas;Aeromonas phage ;phiO18P;Aeromonas phage phiO18P;;;;no;
Aeromonas;Aeromonas phage ;vB AsaM 56;Aeromonas phage vB AsaM 56;;;;no;
Aeromonas;Aeromonas salmonicida;;Aeromonas salmonicida;negative;;yes;no;animal
Aeromonas;Aeromonas sp. ;159;Aeromonas sp. 159;negative;;;;animal
Aeromonas;Aeromonas sp. ;MDS8;Aeromonas sp. MDS8;negative;;yes;no;
Aeromonas;Aeromonas veronii;;Aeromonas veronii;negative;humanMicrobiome;yes;no;
Aeropyrum;Aeropyrum pernix;;Aeropyrum pernix;;;;yes;
Aestuariimicrobium;Aestuariimicrobium kwangyangense;;Aestuariimicrobium kwangyangense;positive;;;yes;
Afipia;Afipia birgiae;;Afipia birgiae;negative;;no;no;
Afipia;Afipia broomeae;;Afipia broomeae;;;no;no;
Afipia;Afipia clevelandensis;;Afipia clevelandensis;negative;humanMicrobiome;;no;animal
Afipia;Afipia felis;;Afipia felis;negative;;;no;animal
Afipia;Afipia sp. ;1NLS2;Afipia sp. 1NLS2;negative;;;no;animal
Agarivorans;Agarivorans albus;;Agarivorans albus;negative;;no;no;
Ageratum;Ageratum enation ;alphasatellite;Ageratum enation alphasatellite;;;;no;
Ageratum;Ageratum leaf ;curl betasatellite;Ageratum leaf curl betasatellite;;;;no;plant
Ageratum;Ageratum leaf ;curl Cameroon betasatellite;Ageratum leaf curl Cameroon betasatellite;;;;no;plant
Ageratum;Ageratum yellow ;leaf curl betasatellite;Ageratum yellow leaf curl betasatellite;;;;no;plant
Ageratum;Ageratum yellow ;vein betasatellite;Ageratum yellow vein betasatellite;;;;no;plant
Ageratum;Ageratum yellow ;vein China betasatellite;Ageratum yellow vein China betasatellite;;;;no;
Ageratum;Ageratum yellow ;vein Singapore alphasatellite;Ageratum yellow vein Singapore alphasatellite;;;;no;plant
Aggregatibacter;Aggregatibacter actinomycetemcomitans;;Aggregatibacter actinomycetemcomitans;negative;humanMicrobiome;;no;
Aggregatibacter;Aggregatibacter aphrophilus;;Aggregatibacter aphrophilus;negative;humanMicrobiome;;no;
Aggregatibacter;Aggregatibacter phage ;S1249;Aggregatibacter phage S1249;;;;no;
Aggregatibacter;Aggregatibacter segnis;;Aggregatibacter segnis;negative;humanMicrobiome;;no;
Aggregatibacter;Aggregatibacter sp. ;oral taxon 458;Aggregatibacter sp. oral taxon 458;negative;humanMicrobiome;;no;
Agrobacterium;Agrobacterium albertimagni;;Agrobacterium albertimagni;negative;;;no;plant
Agrobacterium;Agrobacterium fabrum;;Agrobacterium fabrum;negative;;;no;plant
Agrobacterium;Agrobacterium phage ;7 7 1;Agrobacterium phage 7 7 1;;;;no;
Agrobacterium;Agrobacterium sp. ;10MFCol1 1;Agrobacterium sp. 10MFCol1 1;negative;;;no;plant
Agrobacterium;Agrobacterium sp. ;224MFTsu3 1;Agrobacterium sp. 224MFTsu3 1;negative;;;no;plant
Agrobacterium;Agrobacterium sp. ;ATCC 31749;Agrobacterium sp. ATCC 31749;negative;;;no;plant
Agrobacterium;Agrobacterium sp. ;H13 3;Agrobacterium sp. H13 3;negative;;no;no;
Agrobacterium;Agrobacterium tumefaciens;;Agrobacterium tumefaciens;negative;;;;animal|plant
Agrobacterium;Agrobacterium vitis;;Agrobacterium vitis;negative;;;;plant
Agrococcus;Agrococcus pavilionensis;;Agrococcus pavilionensis;positive;;;yes;
Agromyces;Agromyces italicus;;Agromyces italicus;positive;;;no;
Agromyces;Agromyces subbeticus;;Agromyces subbeticus;positive;;;;
Ahrensia;Ahrensia kielensis;;Ahrensia kielensis;negative;;no;yes;
Ahrensia;Ahrensia sp. ;R2A130;Ahrensia sp. R2A130;negative;;no;yes;
Ajellomyces;Ajellomyces capsulatus;;Ajellomyces capsulatus;;;no;no;animal
Ajellomyces;Ajellomyces dermatitidis;;Ajellomyces dermatitidis;;;no;no;animal
Akkermansia;Akkermansia muciniphila;;Akkermansia muciniphila;negative;humanMicrobiome;no;no;
Albidiferax;Albidiferax ferrireducens;;Albidiferax ferrireducens;negative;;;;
Alcaligenes;Alcaligenes faecalis;;Alcaligenes faecalis;negative;humanMicrobiome;;no;
Alcaligenes;Alcaligenes sp. ;EGD AK7;Alcaligenes sp. EGD AK7;;;;;
Alcaligenes;Alcaligenes sp. ;HPC1271;Alcaligenes sp. HPC1271;negative;;;;
Alcanivorax;Alcanivorax borkumensis;;Alcanivorax borkumensis;negative;;;yes;
Alcanivorax;Alcanivorax dieselolei;;Alcanivorax dieselolei;negative;;;yes;
Alcanivorax;Alcanivorax hongdengensis;;Alcanivorax hongdengensis;negative;;;no;
Alcanivorax;Alcanivorax pacificus;;Alcanivorax pacificus;negative;;;no;
Alcanivorax;Alcanivorax sp. ;DG881;Alcanivorax sp. DG881;;;;;
Algicola;Algicola sagamiensis;;Algicola sagamiensis;negative;;;no;
Algoriphagus;Algoriphagus machipongonensis;;Algoriphagus machipongonensis;negative;;no;no;
Alicycliphilus;Alicycliphilus denitrificans;;Alicycliphilus denitrificans;negative;;;;
Alicycliphilus;Alicycliphilus sp. ;CRZ1;Alicycliphilus sp. CRZ1;;;;;
Alicyclobacillus;Alicyclobacillus acidocaldarius;;Alicyclobacillus acidocaldarius;positive;;no;yes;
Alicyclobacillus;Alicyclobacillus acidoterrestris;;Alicyclobacillus acidoterrestris;positive;;no;yes;
