strains.ID_strains;strains.Culture collection no.;strains.Genus;strains.Species;strains.Strain Designation;strains.Type strain;strains_tax_PNU.Species;strains_tax_PNU.ID_reference;colony_morphology.Incubation period;colony_morphology.ID_reference;culture_medium.Culture medium;culture_medium.ID_reference;culture_temp.Temperature;culture_temp.ID_reference;compound_production.Name of produced compound;compound_production.ID_reference;oxygen_tolerance.Oxygen tolerance;oxygen_tolerance.ID_reference;nutrition_type.Nutrition type;nutrition_type.ID_reference;met_util.Metabolite;met_util.ID_reference;met_production.Metabolite;met_production.Production;met_production.ID_reference;met_test.Metabolite;met_test.ID_reference;enzymes.Enzyme;enzymes.Enzyme activity;enzymes.ID_reference;origin.Sample type/isolated from;origin.ID_reference;sequence_genomes.Seq. accession number;sequence_genomes.ID_reference
12244;DSM 53366;Sorangium;Sorangium cellulosum;So ce357;0;Sorangium cellulosum;20215;;;VY/2 AGAR (DSMZ Medium 9);15035;28;15035;;;;;;;;;;;;;;;;;soil with plant residues with lime pebbles;15035;;
19783;;Sorangium;Sorangium cellulosum;So ce442;0;Sorangium cellulosum;20215;;;PROBION L AGAR;18281;;;;;;;;;;;;;;;;;;;humus;18281;;
19783;;Sorangium;Sorangium cellulosum;So ce442;0;;;;;STAN 21 AGAR with Filter;18281;;;;;;;;;;;;;;;;;;;;;;
19783;;Sorangium;Sorangium cellulosum;So ce442;0;;;;;TOLI AGAR;18281;;;;;;;;;;;;;;;;;;;;;;
19783;;Sorangium;Sorangium cellulosum;So ce442;0;;;;;VY/2 AGAR;18281;;;;;;;;;;;;;;;;;;;;;;
12245;DSM 53367;Sorangium;Sorangium cellulosum;So ce358;0;Sorangium cellulosum;20215;;;VY/2 AGAR (DSMZ Medium 9);15036;28;15036;;;;;;;;;;;;;;;;;soil with plant residues;15036;;
19816;;Sorangium;Sorangium cellulosum;So ce1582;0;Sorangium cellulosum;20215;;;STAN 21 AGAR with Filter;18281;;;;;;;;;;;;;;;;;;;soil with faeces of goat and little plant residues and lichens;18281;;
19816;;Sorangium;Sorangium cellulosum;So ce1582;0;;;;;TOLI AGAR Kan14;18281;;;;;;;;;;;;;;;;;;;;;;
19816;;Sorangium;Sorangium cellulosum;So ce1582;0;;;;;VY/2 AGAR;18281;;;;;;;;;;;;;;;;;;;;;;
12246;DSM 53369;Sorangium;Sorangium cellulosum;So ce361;0;Sorangium cellulosum;20215;;;VY/2 AGAR (DSMZ Medium 9);15037;28;15037;;;;;;;;;;;;;;;;;soil with plant residues;15037;;
19817;;Sorangium;Sorangium cellulosum;So ce1585;0;Sorangium cellulosum;20215;;;KAN 17 AGAR;18281;;;;;;;;;;;;;;;;;;;bark;18281;;
19817;;Sorangium;Sorangium cellulosum;So ce1585;0;;;;;STAN 21 AGAR with Filter;18281;;;;;;;;;;;;;;;;;;;;;;
