TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	PC_0	PC_1	PC3_0	PC3_1	PC3_2	Representative	Eliminated
"GO:0030337"	"DNA polymerase processivity factor activity"	-3	3.42683645380351	0.00922968802583262	0.967581460021502	0	-1.52219295478706	2.62953968850686	3.32554113129301	5.54638924681892	-0.921467360564089	null	False
"GO:0030674"	"protein-macromolecule adaptor activity"	-1.48649903543042	4.64715793945787	0.15334205759429	1	0	1.26387055301934	8.05959803218572	1.40802969679597	-6.50201657490748	3.570543416386	null	False
"GO:0060090"	"molecular adaptor activity"	-1.48649903543042	4.72715884450679	0.18435878530671	1	0	-0.497491323451808	1.01172114155123	1.00642570269456	-4.60213540116968	6.12930919767887	null	False
"GO:0097163"	"sulfur carrier activity"	-3	3.68421679513888	0.0166970619770959	0.992229284026854	0	-0.539813172641984	6.86782717130488	2.78759785118199	-6.09872019937105	3.20379769735223	null	False
"GO:0032977"	"membrane insertase activity"	-3	4.1334430975491	0.0469812199173419	0.94857511272592	0.7592836	null	null	null	null	null	97163	True
"GO:1901618"	"organic hydroxy compound transmembrane transporter activity"	-3	4.02143739646709	0.0363002144183346	0.935625554059718	0	-4.56213260007466	-4.91706546497846	-1.99503582255772	-1.9743189485457	-5.71395119041315	null	False
"GO:1902444"	"riboflavin binding"	-3	1.67209785793572	0.000158953818490566	0.989384785193146	0	-0.882497335949572	-4.11872794985615	-6.23855601183549	2.12449160357925	-2.75064949483496	null	False
"GO:1990883"	"rRNA cytidine N-acetyltransferase activity"	-3	2.38021124171161	0.000825868752592286	0.918631106440957	0	1.6209810028738	3.76557924830207	-5.11912912691619	-3.16724570664655	-2.91828045119807	null	False
"GO:0106009"	"(4S)-4-hydroxy-2-oxoglutarate aldolase activity"	-3	1.17609125905568	4.83772491058243E-05	0.937572212939482	0.01262587	-1.93116652070213	-6.44931787025282	-2.7375121597134	3.88734781895322	-4.10706176936787	null	False
"GO:1990238"	"double-stranded DNA endodeoxyribonuclease activity"	-3	1.68124123737559	0.000162409336283839	0.876583067674975	0.01323666	5.31897940344277	-2.37199746329912	-4.35905375847857	1.56190022356159	4.65687395301834	null	False
"GO:1990002"	"methylglyoxal reductase (NADPH-dependent, acetol producing)"	-3	2.06445798922692	0.000397384546226414	0.916875284529545	0.0137273	-6.38842972817177	2.23020759369146	4.88350346640585	-2.27863241615985	3.79008736144739	null	False
"GO:0052857"	"NADPHX epimerase activity"	-3	3.8866598978612	0.0266143980437899	0.947136105673245	0.01662229	-1.45907707444421	-2.02754739376912	3.37820817452986	2.71139414632985	-4.40803090008517	null	False
"GO:0050218"	"propionate-CoA ligase activity"	-3	3.2043913319193	0.00552882846923706	0.940936696729762	0.01837471	7.9623546133802	0.0893234280621427	0.743206223007503	0.172906534993273	7.3410927229794	null	False
"GO:0003987"	"acetate-CoA ligase activity"	-3	3.98236170163315	0.0331764263332157	0.935111432853854	0.75600645	null	null	null	null	null	50218	True
"GO:0048038"	"quinone binding"	-3	4.93067910430535	0.294569069805364	0.993386292388803	0.02834274	-0.472524897984174	6.06745886369896	0.686345682019681	-5.1821652848588	5.67832490598698	null	False
"GO:1990275"	"preribosome binding"	-1.29624526137745	2.33645973384853	0.000746391843347003	0.995169228481445	0.03082878	0.352157629165032	-0.436125667478645	4.0423744541607	5.09415403994431	2.69045657374315	null	False
"GO:0046790"	"virion binding"	-3	2.40823996531185	0.000881157037284657	0.995132785695503	0.03112174	0.952360250416711	8.02674530399742	1.89781714857932	-4.84585479278946	5.59660664697719	null	False
