TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	PC_0	PC_1	PC3_0	PC3_1	PC3_2	Representative	Eliminated
"GO:0006791"	"sulfur utilization"	-3	0.845098040014257	2.48576341150148E-05	1	0	3.06837665439652	-7.94603759820669	2.41852378772914	-7.39538742857671	0.0711669960059152	null	False
"GO:0007610"	"behavior"	-1.29624526137745	4.47051339216867	0.122407276260371	1	0	0.546467008171209	-8.17622140870665	1.41636106794647	-6.83787910041457	-2.93167911495979	null	False
"GO:0015976"	"carbon utilization"	-1.18304011901101	3.97781502608319	0.0393620636211259	1	0	0.6840601252732	-7.92894252139378	2.64188889818786	-7.30185016246898	-0.714648313748873	null	False
"GO:0019046"	"release from viral latency"	-1.47488117505617	1.9731278535997	0.000385293328782729	0.993127839707598	0	1.51737970751706	-7.06279653405774	1.39018284695752	-5.33414303525378	-5.04404778463987	null	False
"GO:0032359"	"provirus excision"	-1.47488117505617	1.25527250510331	7.04299633258752E-05	0.993412095065598	0.93618823	null	null	null	null	null	19046	True
"GO:0043963"	"modulation by symbiont of host adenylate cyclase-mediated signal transduction"	-3	0.301029995663981	4.14293901916913E-06	0.992232408099222	0	0.18539892092629	3.57131430783758	-1.29248009079314	5.53763751344862	-3.68747416915783	null	False
"GO:0048364"	"root development"	-3	3.83828224991469	0.0285448498420753	0.960370366109087	0	-6.34116366074207	-2.19983119779322	-3.84113621671726	1.38920568743806	-4.90629070388916	null	False
"GO:0051703"	"biological process involved in intraspecies interaction between organisms"	-3	3.66950283410434	0.019351668158539	1	0	-1.62104031485694	1.56218172752855	-4.78640225110118	-1.93956379240478	-4.18512243776664	null	False
"GO:1902347"	"response to strigolactone"	-3	1.83250891270624	0.000277576914284332	0.930172817616701	0	2.11064680135306	6.63083321828454	2.36360857571504	5.77981036937207	2.47061437033561	null	False
"GO:1990884"	"RNA acetylation"	-3	3.30297993674825	0.00831902155049161	0.898074311863176	0	6.28393738764043	2.47544681301071	5.23502647528438	1.65296168490561	-3.90242504274055	null	False
"GO:2001125"	"negative regulation of translational frameshifting"	-3	2.10380372095596	0.00052201031641531	0.899452514111659	0	-3.14808149172981	5.18350986288847	-3.45404260425194	4.32299778007846	1.96665263492754	null	False
"GO:0030541"	"plasmid partitioning"	-3	1.70757017609794	0.000207146950958457	0.994451063149338	0.004845	1.06463660795547	-7.81019693619531	1.37321052608086	-6.43729997611634	-3.6977991450139	null	False
"GO:0044011"	"single-species biofilm formation on inanimate substrate"	-3	2.04921802267018	0.000459866231127773	0.994243513348691	0.00502319	1.06827787707052	-7.30107438203699	1.94088760492192	-4.63514812504894	-5.78692296550922	null	False
"GO:0034337"	"RNA folding"	-3	2.19865708695442	0.000650441426009553	0.994148298131573	0.00510482	1.63510875509969	-7.83876379711312	-0.0603797691322755	-3.8187450065749	6.26382643839089	null	False
"GO:0010118"	"stomatal movement"	-3	2.76566855475901	0.00241119050915643	0.993757724995009	0.00543878	1.88352282790228	-8.15085244550922	2.75188419409003	-6.80971971232011	-2.56947557437061	null	False
"GO:1902626"	"assembly of large subunit precursor of preribosome"	-3	2.8481891169914	0.00291662906949507	0.959784199926631	0.00549096	-0.262864559636929	0.141010514510235	-0.766256060218986	-1.62372077804931	-6.46428931632105	null	False
"GO:0006276"	"plasmid maintenance"	-1.49788647074646	3.01870049866624	0.0043210853969934	0.993566280045219	0.00560197	1.41624459092328	-8.17848092411935	2.25572389640872	-5.79436141853422	-4.53471558342959	null	False
"GO:0060274"	"maintenance of stationary phase"	-3	3.11892575282578	0.00544382187118824	0.991309624261112	0.00566931	-3.12192527516711	-0.588635069902073	-2.62712231822322	3.95453338879053	-4.71632203429342	null	False
"GO:0009372"	"quorum sensing"	-3	3.68313713148301	0.0199689660723952	0.935084867372776	0.72508472	null	null	null	null	null	60274	True
